product_id,vintage,label,status,source_count,missing_fields,next_action
doritos_nacho_cheese,current_2020s,Current anchor,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
cheerios_original,earliest_verified_label,Earliest bounded chapter,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
cheerios_original,1980s_or_earlier,1980s or earlier,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
cheerios_original,1990s,1990s bridge,usable_photo,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
cheerios_original,2000s,2000s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
cheerios_original,2010s,2010s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Cheerios Original 2010s bridge evidence; record source owner, date basis, rights note, and panel role."
cheerios_original,current_2020s,Current anchor,label_text_candidate,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,earliest_verified_label,Earliest bounded chapter,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,1980s_or_earlier,1980s or earlier,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,1990s,1990s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,2000s,2000s bridge,usable_photo,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,2010s,2010s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
coca_cola_classic,current_2020s,Current anchor,label_text_candidate,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
campbells_tomato_soup,earliest_verified_label,Earliest bounded chapter,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
campbells_tomato_soup,1980s_or_earlier,1980s or earlier,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
campbells_tomato_soup,1990s,1990s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Campbell's Condensed Tomato Soup 1990s bridge evidence; record source owner, date basis, rights note, and panel role."
campbells_tomato_soup,2000s,2000s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Campbell's Condensed Tomato Soup 2000s bridge evidence; record source owner, date basis, rights note, and panel role."
campbells_tomato_soup,2010s,2010s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
campbells_tomato_soup,current_2020s,Current anchor,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
heinz_tomato_ketchup,earliest_verified_label,Earliest bounded chapter,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
heinz_tomato_ketchup,1980s_or_earlier,1980s or earlier,usable_photo,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
heinz_tomato_ketchup,1990s,1990s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Heinz Tomato Ketchup 1990s bridge evidence; record source owner, date basis, rights note, and panel role."
heinz_tomato_ketchup,2000s,2000s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
heinz_tomato_ketchup,2010s,2010s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Heinz Tomato Ketchup 2010s bridge evidence; record source owner, date basis, rights note, and panel role."
heinz_tomato_ketchup,current_2020s,Current anchor,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
poptarts_frosted_strawberry,earliest_verified_label,Earliest bounded chapter,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
poptarts_frosted_strawberry,1980s_or_earlier,1980s or earlier,usable_photo,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
poptarts_frosted_strawberry,1990s,1990s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Pop-Tarts Frosted Strawberry 1990s bridge evidence; record source owner, date basis, rights note, and panel role."
poptarts_frosted_strawberry,2000s,2000s bridge,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
poptarts_frosted_strawberry,2010s,2010s bridge,label_text_candidate,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
poptarts_frosted_strawberry,current_2020s,Current anchor,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
kraft_macaroni_and_cheese_original,earliest_verified_label,Earliest bounded chapter,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
kraft_macaroni_and_cheese_original,1980s_or_earlier,1980s or earlier,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
kraft_macaroni_and_cheese_original,1990s,1990s bridge,usable_photo,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
kraft_macaroni_and_cheese_original,2000s,2000s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for Kraft Macaroni & Cheese Original 2000s bridge evidence; record source owner, date basis, rights note, and panel role."
kraft_macaroni_and_cheese_original,2010s,2010s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
kraft_macaroni_and_cheese_original,current_2020s,Current anchor,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
mcdonalds_big_mac,earliest_verified_label,Earliest bounded chapter,usable_photo,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_big_mac,1980s_or_earlier,1980s or earlier,usable_photo,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_big_mac,1990s,1990s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_big_mac,2000s,2000s bridge,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_big_mac,2010s,2010s bridge,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_big_mac,current_2020s,Current anchor,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_chicken_mcnuggets,earliest_verified_label,Earliest bounded chapter,usable_photo,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_chicken_mcnuggets,1980s_or_earlier,1980s or earlier,usable_photo,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_chicken_mcnuggets,1990s,1990s bridge,gap,0,source URL; source title; claimed date; evidence role,"Search targeted sources and archive captures for McDonald's Chicken McNuggets 1990s bridge evidence; record source owner, date basis, rights note, and panel role."
mcdonalds_chicken_mcnuggets,2000s,2000s bridge,label_text_candidate,3,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_chicken_mcnuggets,2010s,2010s bridge,label_text_candidate,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
mcdonalds_chicken_mcnuggets,current_2020s,Current anchor,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures."
