product_id,product_name,category,corpus_scope,story_status,claim_status,source_backed_slots,total_slots,coverage,verified_labels,candidate_text_chapters,source_receipts,link_only_receipts,public_embeds,source_gaps,public_photo_mode,claim_boundary,next_unlock
chick_fil_a_chicken_sandwich,Chick-fil-A Chicken Sandwich,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,11,11,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
cinnamon_toast_crunch,Cinnamon Toast Crunch,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,10,10,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kfc_original_recipe_chicken,KFC Original Recipe Chicken,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,8,8,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
mms_milk_chocolate,M&M's Milk Chocolate Candies,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,16,16,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
mountain_dew_original,Mountain Dew Original,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,16,16,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
pepperidge_farm_goldfish_cheddar,Pepperidge Farm Goldfish Cheddar,crackers,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,8,8,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
pringles_original,Pringles Original Crisps,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,20,20,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
snickers_bar,Snickers Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,8,8,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
taco_bell_crunchy_taco,Taco Bell Crunchy Taco,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,9,9,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
capn_crunch_original,Cap'n Crunch Original,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,17,17,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
dr_pepper_original,Dr Pepper Original,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,15,15,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
jello_strawberry_gelatin,Jell-O Strawberry Gelatin,desserts,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
rice_krispies,Kellogg's Rice Krispies,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,9,9,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
wendys_daves_single,Wendy's Dave's Single,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,10,10,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
wheat_thins_original,Wheat Thins Original,crackers,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,18,18,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
fig_newtons,Fig Newtons,cookies,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,11,11,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hostess_cupcakes,Hostess CupCakes,snack cakes,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,14,14,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
jif_creamy_peanut_butter,Jif Creamy Peanut Butter,spreads,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,6,6,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kit_kat_bar,Kit Kat Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,14,14,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
popeyes_chicken_sandwich,Popeyes Chicken Sandwich,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,9,9,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
triscuit_original,Triscuit Original Crackers,crackers,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,9,9,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
cocoa_puffs,Cocoa Puffs,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,13,13,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
fritos_original,Fritos Original Corn Chips,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,21,21,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kraft_singles_american,Kraft Singles American Cheese,dairy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,14,14,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
nilla_wafers,Nilla Wafers,cookies,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,11,11,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
nutella_hazelnut_spread,Nutella Hazelnut Spread,spreads,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,17,17,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
ruffles_original,Ruffles Original Potato Chips,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
skippy_creamy_peanut_butter,Skippy Creamy Peanut Butter,spreads,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,15,15,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
spam_classic,SPAM Classic,meat,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,18,18,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
sprite_original,Sprite Original,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
wendys_chili,Wendy's Chili,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,12,12,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
chef_boyardee_beefaroni,Chef Boyardee Beefaroni,prepared foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,15,15,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
chipotle_chicken_burrito,Chipotle Chicken Burrito,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,10,10,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
eggo_homestyle_waffles,Eggo Homestyle Waffles,frozen foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,9,9,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
gatorade_lemon_lime,Gatorade Lemon-Lime,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,15,15,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hellmanns_mayonnaise_real,Hellmann's Real Mayonnaise,condiments,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,16,16,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hot_pockets_pepperoni_pizza,Hot Pockets Pepperoni Pizza,frozen foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,5,5,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,dairy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,9,9,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
pizza_hut_original_pan_pepperoni,Pizza Hut Original Pan Pepperoni Pizza,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,8,8,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
quaker_old_fashioned_oats,Quaker Old Fashioned Oats,breakfast,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,13,13,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
spaghettios_original,SpaghettiOs Original,prepared foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,13,13,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
subway_italian_bmt,Subway Italian B.M.T.,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,7,7,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
taco_bell_bean_burrito,Taco Bell Bean Burrito,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
tostitos_original,Tostitos Original Restaurant Style,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,9,9,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
totinos_pizza_rolls,Totino's Pizza Rolls,frozen foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,10,10,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
trix_cereal,Trix Cereal,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,11,11,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
velveeta_shells_and_cheese,Velveeta Shells & Cheese,prepared foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,8,8,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
dominos_hand_tossed_pepperoni,Domino's Hand Tossed Pepperoni Pizza,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hidden_valley_ranch_original,Hidden Valley Original Ranch,condiments,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,8,8,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
little_debbie_oatmeal_creme_pies,Little Debbie Oatmeal Creme Pies,snack cakes,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,11,11,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
pillsbury_crescent_rolls,Pillsbury Crescent Rolls,refrigerated dough,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,17,17,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
starbucks_pumpkin_spice_latte,Starbucks Pumpkin Spice Latte,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,14,14,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
twix_bar,Twix Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,12,12,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
betty_crocker_super_moist_yellow_cake_mix,Betty Crocker Super Moist Yellow Cake Mix,baking,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,10,10,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
bisquick_original,Bisquick Original Pancake and Baking Mix,baking,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,7,7,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
butterfinger_bar,Butterfinger Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hamburger_helper_cheeseburger_macaroni,Hamburger Helper Cheeseburger Macaroni,prepared foods,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,6,6,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
raisin_bran_kelloggs,Kellogg's Raisin Bran,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,11,11,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kfc_famous_bowl,KFC Famous Bowl,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,7,7,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kool_aid_cherry,Kool-Aid Cherry Drink Mix,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,11,11,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
little_debbie_swiss_rolls,Little Debbie Swiss Rolls,snack cakes,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
milky_way_bar,Milky Way Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,14,14,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
miracle_whip_original,Miracle Whip Original,condiments,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,7,7,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
oscar_mayer_wieners,Oscar Mayer Wieners,meat,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,8,8,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
panera_broccoli_cheddar_soup,Panera Broccoli Cheddar Soup,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,2,6,33,0,0,14,14,0,4,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
