product_id,product_name,category,corpus_scope,total_slots,manual_verified_slots,public_panel_embed_slots,panel_source_candidate_slots,candidate_text_needs_photo_slots,secondary_context_only_slots,source_discovery_needed_slots,publishable_gap_slots,missing_primary_panel_slots,needs_panel_acquisition_slots,top_priority,next_target_vintage,next_action
stouffers_lasagna_meat_sauce,Stouffer's Lasagna with Meat & Sauce,frozen foods,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
taco_bell_bean_burrito,Taco Bell Bean Burrito,fast food,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
tang_orange,Tang Orange Drink Mix,beverages,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
trix_cereal,Trix Cereal,cereal,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
twizzlers_strawberry,Twizzlers Strawberry Twists,candy,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
velveeta_shells_and_cheese,Velveeta Shells & Cheese,prepared foods,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
wheaties,Wheaties,cereal,full_corpus_shell,6,0,0,3,0,2,1,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
ball_park_franks,Ball Park Franks,meat,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
banquet_chicken_pot_pie,Banquet Chicken Pot Pie,frozen foods,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
betty_crocker_super_moist_yellow_cake_mix,Betty Crocker Super Moist Yellow Cake Mix,baking,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
bisquick_original,Bisquick Original Pancake and Baking Mix,baking,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
butterfinger_bar,Butterfinger Bar,candy,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,soup,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cheetos_crunchy,Cheetos Crunchy,chips,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cheez_it_original,Cheez-It Original Crackers,crackers,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
chef_boyardee_beefaroni,Chef Boyardee Beefaroni,prepared foods,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
chick_fil_a_chicken_sandwich,Chick-fil-A Chicken Sandwich,fast food,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cocoa_puffs,Cocoa Puffs,cereal,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cool_whip_original,Cool Whip Original,desserts,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
dr_pepper_original,Dr Pepper Original,beverages,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
eggo_homestyle_waffles,Eggo Homestyle Waffles,frozen foods,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
fig_newtons,Fig Newtons,cookies,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
frenchs_yellow_mustard,French's Classic Yellow Mustard,condiments,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
fritos_original,Fritos Original Corn Chips,chips,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hamburger_helper_cheeseburger_macaroni,Hamburger Helper Cheeseburger Macaroni,prepared foods,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hebrew_national_franks,Hebrew National Beef Franks,meat,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hellmanns_mayonnaise_real,Hellmann's Real Mayonnaise,condiments,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,candy,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hostess_cupcakes,Hostess CupCakes,snack cakes,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
twinkies,Hostess Twinkies,snack cakes,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hot_pockets_pepperoni_pizza,Hot Pockets Pepperoni Pizza,frozen foods,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
jif_creamy_peanut_butter,Jif Creamy Peanut Butter,spreads,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
corn_flakes,Kellogg's Corn Flakes,cereal,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
raisin_bran_kelloggs,Kellogg's Raisin Bran,cereal,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
rice_krispies,Kellogg's Rice Krispies,cereal,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kit_kat_bar,Kit Kat Bar,candy,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kool_aid_cherry,Kool-Aid Cherry Drink Mix,beverages,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kraft_singles_american,Kraft Singles American Cheese,dairy,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
lays_classic,Lay's Classic Potato Chips,chips,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
lean_cuisine_salisbury_steak,Lean Cuisine Salisbury Steak,frozen foods,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
life_cereal_original,Life Cereal Original,cereal,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
little_debbie_oatmeal_creme_pies,Little Debbie Oatmeal Creme Pies,snack cakes,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
little_debbie_swiss_rolls,Little Debbie Swiss Rolls,snack cakes,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
mms_milk_chocolate,M&M's Milk Chocolate Candies,candy,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
mcdonalds_world_famous_fries,McDonald's World Famous Fries,fast food,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,49,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
milky_way_bar,Milky Way Bar,candy,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
miracle_whip_original,Miracle Whip Original,condiments,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
mountain_dew_original,Mountain Dew Original,beverages,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
nilla_wafers,Nilla Wafers,cookies,full_corpus_shell,6,0,0,3,0,2,1,0,3,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
nutella_hazelnut_spread,Nutella Hazelnut Spread,spreads,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
oscar_mayer_bologna,Oscar Mayer Bologna,meat,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
oscar_mayer_wieners,Oscar Mayer Wieners,meat,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,49,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
panera_broccoli_cheddar_soup,Panera Broccoli Cheddar Soup,fast food,full_corpus_shell,6,0,0,2,0,0,4,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pearl_milling_pancake_mix_original,Pearl Milling Company Original Pancake Mix,breakfast,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pepperidge_farm_goldfish_cheddar,Pepperidge Farm Goldfish Cheddar,crackers,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pepsi_cola,Pepsi Cola,beverages,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
philadelphia_cream_cheese_original,Philadelphia Original Cream Cheese,dairy,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pillsbury_crescent_rolls,Pillsbury Crescent Rolls,refrigerated dough,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
poptarts_brown_sugar_cinnamon,Pop-Tarts Frosted Brown Sugar Cinnamon,breakfast,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
popeyes_chicken_sandwich,Popeyes Chicken Sandwich,fast food,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
grape_nuts,Post Grape-Nuts,cereal,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pringles_original,Pringles Original Crisps,chips,full_corpus_shell,6,0,0,3,0,2,1,0,3,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
quaker_old_fashioned_oats,Quaker Old Fashioned Oats,breakfast,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
reeses_peanut_butter_cups,Reese's Peanut Butter Cups,candy,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
rice_krispies_treats_original,Rice Krispies Treats Original,snack bars,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
ruffles_original,Ruffles Original Potato Chips,chips,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
skippy_creamy_peanut_butter,Skippy Creamy Peanut Butter,spreads,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
skittles_original,Skittles Original,candy,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
smuckers_strawberry_preserves,Smucker's Strawberry Preserves,spreads,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
snickers_bar,Snickers Bar,candy,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
spaghettios_original,SpaghettiOs Original,prepared foods,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
starbucks_pumpkin_spice_latte,Starbucks Pumpkin Spice Latte,fast food,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,49,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
starburst_original,Starburst Original,candy,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
subway_tuna_sub,Subway Tuna Sub,fast food,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,49,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
sunchips_harvest_cheddar,SunChips Harvest Cheddar,chips,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
taco_bell_crunchy_taco,Taco Bell Crunchy Taco,fast food,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
teddy_grahams_honey,Teddy Grahams Honey,cookies,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
tootsie_roll,Tootsie Roll,candy,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
tostitos_original,Tostitos Original Restaurant Style,chips,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
totinos_pizza_rolls,Totino's Pizza Rolls,frozen foods,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
triscuit_original,Triscuit Original Crackers,crackers,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
twix_bar,Twix Bar,candy,full_corpus_shell,6,0,0,1,0,4,1,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
wendys_chili,Wendy's Chili,fast food,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
wendys_daves_single,Wendy's Dave's Single,fast food,full_corpus_shell,6,0,0,2,0,1,3,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
wheat_thins_original,Wheat Thins Original,crackers,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
subway_italian_bmt,Subway Italian B.M.T.,fast food,full_corpus_shell,6,0,2,2,0,0,2,0,2,4,49,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
burger_king_whopper,Burger King Whopper,fast food,full_corpus_shell,6,0,0,1,0,3,2,0,5,6,41,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
chipotle_chicken_burrito,Chipotle Chicken Burrito,fast food,full_corpus_shell,6,0,0,1,0,2,3,0,5,6,41,Current SKU anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
