product_id,product_name,location,status,observed_text,confidence_note
coca_cola_classic,Coca-Cola Classic,evidence:coca_cola_classic_evidence_1,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_package_weight_or_size
coca_cola_classic,Coca-Cola Classic,evidence:coca_cola_classic_evidence_6,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
campbells_tomato_soup,Campbell's Condensed Tomato Soup,evidence:campbells_tomato_soup_evidence_5,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
campbells_tomato_soup,Campbell's Condensed Tomato Soup,evidence:campbells_tomato_soup_evidence_7,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
campbells_tomato_soup,Campbell's Condensed Tomato Soup,evidence:campbells_tomato_soup_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
campbells_tomato_soup,Campbell's Condensed Tomato Soup,evidence:campbells_tomato_soup_evidence_9,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_package_weight_or_size
campbells_tomato_soup,Campbell's Condensed Tomato Soup,evidence:campbells_tomato_soup_evidence_10,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
heinz_tomato_ketchup,Heinz Tomato Ketchup,evidence:heinz_tomato_ketchup_evidence_6,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
heinz_tomato_ketchup,Heinz Tomato Ketchup,evidence:heinz_tomato_ketchup_evidence_7,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
heinz_tomato_ketchup,Heinz Tomato Ketchup,evidence:heinz_tomato_ketchup_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
heinz_tomato_ketchup,Heinz Tomato Ketchup,evidence:heinz_tomato_ketchup_evidence_9,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,evidence:poptarts_frosted_strawberry_evidence_6,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,evidence:poptarts_frosted_strawberry_evidence_7,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,evidence:poptarts_frosted_strawberry_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,evidence:poptarts_frosted_strawberry_evidence_9,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,evidence:poptarts_frosted_strawberry_evidence_10,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,evidence:kraft_macaroni_and_cheese_original_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,evidence:kraft_macaroni_and_cheese_original_evidence_9,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,evidence:kraft_macaroni_and_cheese_original_evidence_10,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,evidence:kraft_macaroni_and_cheese_original_evidence_11,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
mcdonalds_big_mac,McDonald's Big Mac,evidence:mcdonalds_big_mac_evidence_4,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_big_mac,McDonald's Big Mac,evidence:mcdonalds_big_mac_evidence_5,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_big_mac,McDonald's Big Mac,evidence:mcdonalds_big_mac_evidence_6,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,evidence:mcdonalds_chicken_mcnuggets_evidence_4,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,evidence:mcdonalds_chicken_mcnuggets_evidence_5,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,evidence:mcdonalds_chicken_mcnuggets_evidence_6,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,evidence:mcdonalds_chicken_mcnuggets_evidence_7,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,evidence:mcdonalds_chicken_mcnuggets_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
